datetime,flow_cfs
2019-10-01,1860
2019-10-02,3270
2019-10-03,3530
2019-10-04,4110
2019-10-05,3560
2019-10-06,3130
2019-10-07,2990
2019-10-08,4390
2019-10-09,4000
2019-10-10,3600
2019-10-11,3100
2019-10-12,2060
2019-10-13,1950
2019-10-14,2640
2019-10-15,3140
2019-10-16,3270
2019-10-17,3740
2019-10-18,5980
2019-10-19,7330
2019-10-20,6340
2019-10-21,5610
2019-10-22,4640
2019-10-23,5760
2019-10-24,7880
2019-10-25,8320
2019-10-26,7600
2019-10-27,7710
2019-10-28,7820
2019-10-29,11000
2019-10-30,8240
2019-10-31,7960
2019-11-01,8220
2019-11-02,12800
2019-11-03,10300
2019-11-04,7770
2019-11-05,7890
2019-11-06,6840
2019-11-07,6480
2019-11-08,5990
2019-11-09,3660
2019-11-10,3440
2019-11-11,4540
2019-11-12,4920
2019-11-13,5170
2019-11-14,6080
2019-11-15,3520
2019-11-16,3300
2019-11-17,3230
2019-11-18,4810
2019-11-19,3870
2019-11-20,4600
2019-11-21,4680
2019-11-22,3450
2019-11-23,3280
2019-11-24,4900
2019-11-25,6060
2019-11-26,6580
2019-11-27,6620
2019-11-28,6820
2019-11-29,6840
2019-11-30,5980
2019-12-01,4920
2019-12-02,4680
2019-12-03,5150
2019-12-04,4790
2019-12-05,4570
2019-12-06,5540
2019-12-07,4800
2019-12-08,4000
2019-12-09,3530
2019-12-10,3520
2019-12-11,6480
2019-12-12,7300
2019-12-13,7450
2019-12-14,9390
2019-12-15,24700
2019-12-16,22700
2019-12-17,12400
2019-12-18,10800
2019-12-19,8960
2019-12-20,8480
2019-12-21,8010
2019-12-22,6280
2019-12-23,6260
2019-12-24,5650
2019-12-25,6110
2019-12-26,6940
2019-12-27,6890
2019-12-28,5090
2019-12-29,4790
2019-12-30,5570
2019-12-31,5220
2020-01-01,3700
2020-01-02,5480
2020-01-03,4750
2020-01-04,2790
2020-01-05,2760
2020-01-06,4300
2020-01-07,4750
2020-01-08,4510
2020-01-09,5380
2020-01-10,5360
2020-01-11,3580
2020-01-12,5370
2020-01-13,9490
2020-01-14,13500
2020-01-15,9810
2020-01-16,8440
2020-01-17,8460
2020-01-18,7200
2020-01-19,5620
2020-01-20,7020
2020-01-21,6750
2020-01-22,6450
2020-01-23,5020
2020-01-24,5520
2020-01-25,6760
2020-01-26,6570
2020-01-27,6820
2020-01-28,7300
2020-01-29,7300
2020-01-30,7260
2020-01-31,7150
2020-02-01,5630
2020-02-02,5520
2020-02-03,5760
2020-02-04,6320
2020-02-05,6430
2020-02-06,6710
2020-02-07,5320
2020-02-08,6000
2020-02-09,5070
2020-02-10,5100
2020-02-11,4930
2020-02-12,4920
2020-02-13,3660
2020-02-14,5340
2020-02-15,6180
2020-02-16,5230
2020-02-17,5060
2020-02-18,4750
2020-02-19,3300
2020-02-20,5250
2020-02-21,5110
2020-02-22,4880
2020-02-23,4480
2020-02-24,4230
2020-02-25,4530
2020-02-26,4700
2020-02-27,5530
2020-02-28,6440
2020-02-29,6220
2020-03-01,6280
2020-03-02,6490
2020-03-03,6130
2020-03-04,6370
2020-03-05,6390
2020-03-06,6380
2020-03-07,6950
2020-03-08,7150
2020-03-09,6170
2020-03-10,6660
2020-03-11,6720
2020-03-12,7690
2020-03-13,9420
2020-03-14,11400
2020-03-15,11900
2020-03-16,9620
2020-03-17,8320
2020-03-18,7990
2020-03-19,7560
2020-03-20,7430
2020-03-21,7660
2020-03-22,9430
2020-03-23,8290
2020-03-24,7730
2020-03-25,7700
2020-03-26,7690
2020-03-27,7630
2020-03-28,7650
2020-03-29,7690
2020-03-30,8230
2020-03-31,9940
2020-04-01,9220
2020-04-02,9950
2020-04-03,18700
2020-04-04,27800
2020-04-05,23900
2020-04-06,20600
2020-04-07,18800
2020-04-08,16600
2020-04-09,14700
2020-04-10,17100
2020-04-11,17900
2020-04-12,14600
2020-04-13,14800
2020-04-14,30200
2020-04-15,32900
2020-04-16,21400
2020-04-17,16800
2020-04-18,14400
2020-04-19,11700
2020-04-20,11700
2020-04-21,11000
2020-04-22,12100
2020-04-23,10400
2020-04-24,9590
2020-04-25,8440
2020-04-26,8010
2020-04-27,10100
2020-04-28,12900
2020-04-29,12500
2020-04-30,10800
2020-05-01,12700
2020-05-02,25300
2020-05-03,21000
2020-05-04,16600
2020-05-05,14500
2020-05-06,12900
2020-05-07,11700
2020-05-08,11500
2020-05-09,12500
2020-05-10,11300
2020-05-11,10400
2020-05-12,10600
2020-05-13,10200
2020-05-14,9600
2020-05-15,8680
2020-05-16,9960
2020-05-17,13600
2020-05-18,11600
2020-05-19,12400
2020-05-20,11300
2020-05-21,11200
2020-05-22,10300
2020-05-23,9250
2020-05-24,8830
2020-05-25,7510
2020-05-26,7180
2020-05-27,6580
2020-05-28,5780
2020-05-29,6100
2020-05-30,5830
2020-05-31,5070
2020-06-01,4780
2020-06-02,4770
2020-06-03,4340
2020-06-04,4310
2020-06-05,3820
2020-06-06,4000
2020-06-07,3070
2020-06-08,3360
2020-06-09,3490
2020-06-10,3150
2020-06-11,2690
2020-06-12,2760
2020-06-13,2700
2020-06-14,2640
2020-06-15,2650
2020-06-16,2530
2020-06-17,2070
2020-06-18,1980
2020-06-19,1950
2020-06-20,1840
2020-06-21,1800
2020-06-22,1570
2020-06-23,1820
2020-06-24,1860
2020-06-25,1970
2020-06-26,1760
2020-06-27,1510
2020-06-28,1570
2020-06-29,2900
2020-06-30,8820
2020-07-01,12700
2020-07-02,15600
2020-07-03,12100
2020-07-04,7660
2020-07-05,7620
2020-07-06,7010
2020-07-07,5640
2020-07-08,5100
2020-07-09,5560
2020-07-10,5740
2020-07-11,5760
2020-07-12,4990
2020-07-13,5580
2020-07-14,5370
2020-07-15,14100
2020-07-16,11900
2020-07-17,7920
2020-07-18,6390
2020-07-19,5360
2020-07-20,5760
2020-07-21,5180
2020-07-22,5090
2020-07-23,4780
2020-07-24,2690
2020-07-25,2830
2020-07-26,2800
2020-07-27,4000
2020-07-28,4230
2020-07-29,3440
2020-07-30,3430
2020-07-31,2530
2020-08-01,2230
2020-08-02,2180
2020-08-03,3940
2020-08-04,3460
2020-08-05,3380
2020-08-06,1940
2020-08-07,2120
2020-08-08,1920
2020-08-09,1940
2020-08-10,2910
2020-08-11,3380
2020-08-12,3960
2020-08-13,3500
2020-08-14,2140
2020-08-15,2050
2020-08-16,1970
2020-08-17,2060
2020-08-18,1930
2020-08-19,1890
2020-08-20,1800
2020-08-21,1790
2020-08-22,1760
2020-08-23,1600
2020-08-24,1540
2020-08-25,1530
2020-08-26,1690
2020-08-27,1540
2020-08-28,1520
2020-08-29,1620
2020-08-30,1630
2020-08-31,1570
2020-09-01,1570
2020-09-02,1610
2020-09-03,1670
2020-09-04,1600
2020-09-05,1550
2020-09-06,1540
2020-09-07,1560
2020-09-08,1550
2020-09-09,1550
2020-09-10,1540
2020-09-11,1500
2020-09-12,1100
2020-09-13,1050
2020-09-14,1210
2020-09-15,1320
2020-09-16,1310
2020-09-17,1250
2020-09-18,1200
2020-09-19,1200
2020-09-20,1190
2020-09-21,1200
2020-09-22,1190
2020-09-23,1210
2020-09-24,1270
2020-09-25,1250
2020-09-26,1250
2020-09-27,1260
2020-09-28,1280
2020-09-29,1280
2020-09-30,1380
